编号,品牌,产区,豆子名称,风味描述,参考价格/规格,每百克价格,优点,缺点,最新评分,萃取建议,首测日期,复测日期,复测日期,群友评价,群友评价,群友评价,群友评价
173,潮九,拼配,铁甲重拳,乌梅 黑糖 杏仁 黑巧,60/200,30,醇厚度高 甜感高,微有杂味,4.5-,,2024/9/18,,,,,,,
174,扑满,埃塞,桃气罐,桃子 柑橘 奶油 白花,69/200,34.5,干净 甜感高,触感稍薄 层次感稍弱,4.5-,,2024/9/24,,,,,,,
175,肆唯,云南 ,茉莉雪,茉莉花茶,149/227,65.6,风味明显,风味单一 触感偏差,3,,2024/9/24,,,,,,,
176,Joker,拼配,最后的晴语,香水柠檬 白花 杜松子,128/150,85.3,干净清爽 香气明显,触感稍薄 性价比偏低,5-,冰美式,2024/9/24,,,,,,,
177,星巴克,拼配,派克市场,烟熏 油薅 木质 烤坚果 ,60/200,30,醇厚度,风味差 性价比低,2,,2024/9/24,,,,,,,
178,乔治队长,卢旺达,尼温圭soe,乌梅 乌龙茶 黑糖 陈皮,66/200,33,风味扎实圆润 甜感尚可,低温触感稍差 苦度上升,4,热美式 热奶咖,2024/9/28,,,,,,,
179,Joker,拼配,最长的一天,黑布林 油桃 红色花,48/227,21.1,均衡 甜感高 性价比高,美式干净度稍弱 低温苦感变强,4.5,热奶咖,2024/9/28,,,,,,,
180,河汉咖啡,埃塞,果丁丁soe,综合水果 白花,68/200,34,整体均衡 水果风味明显,高温风味强度偏弱,4+,冰美式 冷奶咖,2024/9/28,,,,,,,
181,绝对小孩,埃塞,果丁丁soe,花香 偏桃仁 柑橘,9.9/50,19.8,小包装 性价比高 整体均衡,层次感稍弱,4,热奶咖,2024/9/28,,,,,,,
182,乔治队长,埃塞,班其玛吉 瑰夏soe,泰国柚子 樱桃 荔枝,72/200,36,酸质明亮 风味明显,不好萃 新手不友好,4.5-,,2024/10/10,,,,,,,
183,Joker,拼配,细细的红线,烤杏仁 果木 广藿香,48/227,21.1,整体均衡 风味扎实,酸质稍弱 风味明显,4-,,2024/10/10,,,,,,,
184,Drizzle,埃塞,原生瑰夏,橙花 蜂蜜 蓝莓 葡萄,-,-,奶咖花香馥郁,美式稍沉闷,4.5,热奶咖,2024/10/10,,,,,,,
185,绝对小孩,拼配,甜心手滑,烤坚果 黑巧,69/250,27.6,整体均衡 醇厚度高,风味偏弱,3.5,,2024/10/10,,,,,,,
186,Colinplus,拼配,1900,麦芽糖 过目 香草 黑巧,78/454,17.2,性价比高 甜感在线,美式相对平庸,4+,,2024/10/11,,,,,,,
187,Code Black,拼配,前妻,蜜瓜 坚果 太妃糖 黑巧,82/250,32.8,干净均衡 甜感在线,低温略有负面,5-,,2024/10/11,2025/5/12,,,,,,
188,Clip,埃塞,果丁丁soe,树莓 伯爵茶 饼干,78/200,39,干净清爽 茶味明显,味道稍淡 性价比稍低,4,,2024/5/22,,,,,,,
189,Chaka,埃塞,Arbegona,柠檬红茶 柑橘 草莓 水果糖,60澳元/1000,30,水果风味丰富 性价比高,触感稍薄,4.5,适当提高浓度,2024/10/11,,,,,,,
190,Asgard,越南,罗伯斯塔,烤花生皮 麦胚 坚果,-,-,醇厚度高 触感顺滑,风味差,2.5,,2024/10/11,,,,,,,
191,治光师,埃塞,潜水东路10号,金桔 白色花香,52/150,34.7,酸质干净 风味具象,风味强度弱 触感稍薄,4,,2024/10/23,,,,,,,
192,有容乃大,拼配,甜蜜蜜,综合水果 花香,85/200,42.5,水果花香明显,性价比偏低 风味复杂度过高,4-,,2024/10/23,,,,,,,
193,Batahewan,拼配,芒果班戟,芒果干 甜橙 奶油,85/200,42.5,风味明显 甜感尚可,层次感弱 奶咖风味强度弱,4,,2024/10/23,,,,,,,
194,分子,埃塞,甜橙乳酪,白葡萄酒 葡萄 蓝莓,56/227,24.7,风味明显 甜感尚可,触感差 处理法存疑,3.5,,2024/10/23,,,,,,,
195,Momos,哥斯达黎加,Fruity Bonbon,佛手柑 茉莉 焦糖,98/250,39.2,奶咖清爽 甜感高 ,美式相对一般,4.5,奶咖,2024/10/31,,,,,,,
196,Big Sur,拼配,红色恋人,李子 焦糖 奶油 浆果,48/200,24,平衡 水果风味明显 性价比高,风味略单一,4.5-,,2024/10/31,,,,,,,
197,分子,拼配,森林派对,麦芽糖 烤吐司 焦糖 杨梅,45/227,19.8,整体均衡 性价比高,酸质稍弱,4,,2024/10/31,,,,,,,
198,GrandCru,埃塞,瑰夏村 瑰夏soe,花香 蔓越莓 橘子糖,79/200,39.5,甜感尚可 微妙香料感,美式稍沉闷,4-,,2024/10/31,,,,,,,
199,Big Sur,埃塞,阿亚拉日晒soe,橙花柑橘 蓝莓 葡萄,75/200,37.5,花香明显 甜感在线,风味强度稍弱,4.5,奶咖适当减少奶量,2024/11/30,,,,,,,
200,野刺猬,埃塞,尤果瑰夏,热带水果 花香 稀奶油,83/227,40.1,花香明显 均衡,触感稍薄,4.5,适当提高浓度,2024/11/30,,,,,,,
201,启程拓殖,拼配,棉花糖,棉花糖 太妃糖 黑巧 李子,69/200,34.5,均衡柔和,触感稍差 低温苦感变高,4-,,2024/11/30,,,,,,,
202,咖啡列车,拼配,枪与玫瑰,黑巧 烤吐司 莓果酸质,19.6/100,19.6,均衡 性价比尚可,缺乏具体风味 低温苦,4,,2024/11/30,,,,,,,
203,光咖坊,埃塞,哈马修soe,草莓优格 奶油 花香,110/227,48.5,奶油触感 花香明显 奶咖甜感高,美式酸质稍沉闷,4+,热奶咖,2024/11/8,,,,,,,
204,分子,埃塞,黄桃优格soe,黄桃罐头 草莓优格 香兰素,53/227,23.3,奶香浓郁 性价比高,稍有点腻 处理方法存疑,3.5,,2024/11/8,,,,,,,
205,芳豆坊,拼配,水果拼配,甜花香 柑橘 莓果,49/227,21.6,花香明显 酸质明亮 性价比高,触感偏薄,4+,适当提高浓度,2024/11/8,,,,,,,
206,白鲸,拼配,巧克力泡芙,乌梅 黑巧 奶油泡芙,2/250,28.8,均衡干净 酸质微妙,下架了,4.5,,2024/11/8,,,,,,,
207,光咖坊,拼配,奶油话梅草莓,草莓 话梅 奶油 可可,110/227,48.5,风味具象 酸质柔和 奶油触感,层次感稍弱,4.5,,2024/11/5,,,,,,,
208,芳豆坊,拼配,蛋糕拼配,百利甜 香草 提拉米苏,63/227,27.8,风味具象 甜感尚可,层次感和触感稍弱 风味单一,4,,2024/11/5,,,,,,,
209,陆光,拼配,平克拼配,果味丰富 甜感高 均衡,75/227,33,果味丰富 甜感高 均衡,下架了,4.5,,2024/11/5,,,,,,,
210,白鲸,拼配,拿破仑,榛子 焦糖 烤吐司,69/250,27.6,整体均衡 甜感尚可,风味指向性弱,4-,,2024/11/5,,,,,,,
211,Lebunna,埃塞,耶加雪菲soe,绿茶 核果 白花香,129/200,64.5,酸质干净 茶香余韵,性价比偏低,4-,,2024/12/20,,,,,,,
212,扑满,拼配,原力,麦芽糖 饼干吐司,118/454,25.9,整体均衡,缺乏风味指向,3.5,,2024/12/20,,,,,,,
213,Go To,拼配,星空拼配,燕麦饼干 吐司 柑橘,74.9/227,33,均衡 甜感尚可,缺乏风味指向,4,,2024/12/20,,,,,,,
214,Proud Mary,巴西,巴西soe,坚果 焦糖 红茶,30.75澳/250,58,均衡 甜刚高 口感圆润,性价比偏低 低温苦感明显,4+,,2024/12/20,,,,,,,
215,Lebunna,埃塞,花魁soe,玫瑰 番石榴 草莓 水蜜桃,139/200,69.5,甜感高 花香明显 酸质柔和,价格偏贵,4,,2024/11/25,,,,,,,
216,风味之森,拼配,绿野仙踪,绿茶 黄糖 阳光玫瑰葡萄,98/200,49,甜感高 干净清爽,触感稍薄,4.5,,2024/11/25,,,,,,,
217,Anthracite,拼配,夏日漱石,甜橙 坚果巧克力,80/200,40,奶咖轻薄 整体清爽,美式偏生 风味强度弱,3.5,,2024/11/25,,,,,,,
218,Hometown,拼配,Queen City,烤坚果 黑巧 莓果酸质,14💲/12oz,30,整体均衡,风味偏弱,3.5,,2024/11/25,,,,,,,
219,乔治队长,埃塞,ALO 奇卡拉soe,茉莉花茶 柑橘,165/200,82.5,风味明显 甜感高 酸质明亮,价格贵,4.5-,,2024/11/30,,,,,,,
220,乔治队长,埃塞,ALO 邦比soe,草莓 芭乐 红茶,89/200,44.5,酸质柔和 整体均衡,风味强度偏弱,4+,美式,2024/11/30,,,,,,,
221,乔治队长,埃塞,班提宁卡soe,麝香葡萄 白花香 青苹果皮,78/200,39,余韵微妙 果香明显 甜感高,触感稍薄,4.5,,2024/11/30,,,,,,,
222,乔治队长,哥伦比亚,圣洁soe,李子 糖渍樱桃 苹果 肉桂 香料,78/200,39,层次感强 复杂度高,发酵感稍重,4,,2024/11/30,,,,,,,
223,光咖坊,埃塞,栀子乌龙 耶加soe,栀子花 乌龙茶 柑橘酸质,90/227,39.6,花香明显 茶感余韵,酸质稍弱 低温触感变差,4.5,热奶咖,2024/12/9,,,,,,,
224,Coffee Buff,拼配,可可芭蕾,乌梅 可可 焦糖,96/250,38.4,风味明显 口感扎实,略有酵感,4+,,2024/12/9,,,,,,,
225,Softpillow,拼配,草莓软糖,草莓优格 水果糖,81/227,35.7,风味具象,层次感弱 发酵感明显,4,,2024/12/9,,,,,,,
226,唯舍,拼配,3号拼配 流年,花香 草莓 甜橙,128/454,28.2,性价比高 风味明显 口感圆润,美式稍弱,4.5,奶咖,2024/12/9,,,,,,,
227,Monmouth,巴西,黄波旁,焦糖 可可 莓果酸质,3.3磅/100,30,整体均衡 甜感在线 酸质微妙,风味强度弱,4,,2024/12/13,,,,,,,
228,唯舍,拼配,六六的猫,枫糖 红茶 烤杏仁,69/227,30.4,甜感在线 整体均衡,酸质偏弱,4-,,2024/12/13,,,,,,,
229,启程拓殖,拼配,棉花糖,棉花糖 桃子,60/200,30,整体均衡 甜感尚可,风味强度弱,3.5,,2024/12/13,,,,,,,
230,河汉,拼配,新年拼配,橘子糖 莓果 水果酒,68/200,34,甜感高 风味明显 酒香微妙,复杂度稍低,4.5,,2024/12/13,,,,,,,
231,乔治队长,肯尼亚,佳赛茜soe,小番茄 话梅糖 可可,79/200,39.5,风味明显 甜感在线,略不耐萃,4,适当降低萃取率,2024/12/17,,,,,,,
232,Coffee Buff,拼配,秋枫美拉德,莓果酱 红枣 奶油 香草,91/250,36.4,整体均衡干净 触感圆润,风味指向性弱,4+,热奶咖,2024/12/21,,,,,,,
233,Coffee Buff,拼配,焦糖buff,焦糖 黑巧,60/250,24,便宜 均衡,层次感弱 不耐萃 风味指向弱,3+,,2024/12/21,,,,,,,
234,启程拓殖,拼配,Shoegaze 联名款,番石榴 葡萄 黑加仑 菠萝 红色花,62/120,51.6,酸质复杂 层次感强,酸度过高 发酵感明显 性价比低,3.5,,2024/12/27,,,,,,,
235,启程拓殖,拼配,Alhoa 联名款,花香 西梅 布林 红枣 红糖,62/120,51.6,甜感在线 整体均衡,风味指向弱 性价比偏低,4-,,2024/12/27,,,,,,,
236,启程拓殖,拼配,Bitter Creek,蜜饯 水果酒 红枣 可可,168/200,84,层次丰富 干净均衡,稍贵,4.5+,,2024/12/27,,,,,,,
237,启程拓殖,危地马拉,尖身波旁soe,麦芽糖 饼干 焦糖,148/200,74,整体均衡 天然低因,性价比低 缺乏风味,3.5,,2024/12/27,,,,,,,
238,启程拓殖,拼配,Tortoise,焦糖曲奇 柑橘 普洱茶 红糖,48/200,24,性价比高 甜感在线,缺乏具体风味,3.5+,,2024/12/27,,,,,,,
239,Balance,秘鲁,秘鲁Omni,烤坚果 可可 松木油,13加元/300,23,性价比高 整体均衡,风味强度弱 奶咖甜感弱,4,,2024/12/28,,,,,,,
240,三尺,拼配,由布之森,哈密瓜 西瓜 水果糖,128/125,102.4,香气明显 新手友好,低温触感茶 偏贵 层次感弱,4.5-,,2024/12/28,,,,,,,
241,尽力而为,拼配,甜花香,花香 柑橘 果脯,110/454,24.2,花香明显 甜感高 性价比高,奶咖风味稍淡 微有发酵感,4+,适当提高浓度,2024/12/28,,,,,,,
242,Go To,拼配,缤果意式拼配,葡萄 芒果 黄油 奶油,64.9/227,28.6,甜感高 风味丰富 性价比高,美式酸质稍弱,4+,奶咖,2024/12/28,,,,,,,
243,三尺,埃塞,泰安洋行,综合花香 葡萄 水果酒,88/125,70.4,花香馥郁 层次丰富,稍贵 味道复杂,4.5-,,2024/12/30,,,,,,,
244,周狮虎,拼配,巨峰葡萄,葡萄,79/227,34.8,风味具象,风味单一 层次感弱,3.5,,2024/12/30,,,,,,,
245,德林造味,埃塞,晒秋,枫糖 杏仁,48/200,24,便宜 整体均衡,缺乏风味,3.5,,2024/12/30,,,,,,,
246,Let's Grind,拼配,吃个瓜,蜜瓜 果汁 焦糖,69/227,30.4,干净柔和 风味明显,奶咖风味强度稍弱 甜感稍弱,4.5-,适当提高浓度,2024/12/30,,,,,,,
247,Go To,埃塞,哈马修soe,佛手柑 橘子 西柚 绿茶,131/227,57.7,香气明显 酸质明亮,触感稍薄,5,,2025/1/15,,,,,,,
248,光咖坊,拼配,奶枣拼配,红枣 白巧 酸角汁,99/227,43.6,奶咖甜感在线 整体均衡,美式酸质稍沉闷 风味强度偏弱,4,奶咖 适当提高浓度,2025/1/14,,,,,,,
249,四人,拼配,黑曜石,乌梅 黑糖 黑巧,58/227,25.6,便宜 整体均衡,层次感稍弱,3.5,,2025/1/14,,,,,,,
250,Code Black,拼配,3056拼配,红茶 焦糖 黑巧,30/100,30,整体均衡,风味偏弱,3,,2025/1/14,,,,,,,
251,白鲸,拼配,冬季拼配,提子 蓝莓 奶油,105/200,52.5,风味明显 触感顺滑,小贵 复杂度稍低 不耐萃,5-,大幅降低萃取率,2025/1/14,,,,,,,
252,AF,拼配,海上钢琴师,黑加仑 蜂蜜 焦糖,62.9/454,13.9,醇厚度高 甜感在线 性价比高,干净度弱 低温触感稍差,4+,调粗研磨 热奶咖,2025/1/20,,,,,,,
253,AF,拼配,绮梦乐章,话梅 榛子 烤吐司 哈密瓜,62.9/454,13.9,醇厚度高 甜感在线 性价比高,风味强度偏弱,4+,,2025/1/20,,,,,,,
254,谙客,肯尼亚,喜上眉梢,莓果干 李子 红茶,86/250,34.4,酸质明显 茶韵明显,奶咖有点奇怪,3.5,热美式,2025/1/20,,,,,,,
255,德林造味,拼配,黄油曲奇,黄油饼干 焦糖,41.2/200,20.8,整体均衡,风味偏弱,3.5,,2025/1/20,,,,,,,
256,光咖坊,拼配,金桔烤凤梨,金桔 凤梨 果干,108/227,47.6,风味明显 甜感在线,低温触感稍差 苦度上升,4+,,2025/1/24,,,,,,,
257,扑满,拼配,糖油果子,糖油果子 烤坚果,78/454,17.2,整体均衡 性价比高,缺乏具体风味,3.5+,,2025/1/24,,,,,,,
258,周狮虎,埃塞,城南花,白花香 热带水果 杏桃,85/227,37.4,花香明显 整体柔和,干净度稍差,4+,,2025/1/24,,,,,,,
259,洛凌,巴拿马,定制瑰夏soe,白色花 柑橘 和他 曲奇饼干,150/100,150,甜感高 风味明显,贵 奶咖太甜,4+,,2025/1/24,,,,,,,
260,乔治队长,拼配,贪心俱乐部,烤坚果 黑巧 松木,72/454g,15.9,性价比高 醇厚度高,风味偏弱 不耐萃 略有烟感,3.5-,,2025/1/23,,,,,,,
261,Joker,肯尼亚,小西梅omini,西梅 黑糖 乌梅,439/450,58.5,风味明显 甜感在线,层次感稍弱 不耐萃,4+,意式 冷萃,2025/1/23,,,,,,,
262,Bob,肯尼亚,肯尼亚soe,热带水果 焦糖,58/227,25.6,甜感高 性价比高,酸质稍沉闷 风味稍弱,4.5,,2025/1/23,,,,,,,
263,周狮虎,拼配,夜女王,黑巧 烤坚果,95/454,20.9,甜感尚可 价格尚可,味道稍杂 略焦糊 客服态度差,2.5,,2025/1/23,,,,,,,
264,Big Sur,拼配,经典意式拼配,坚果 焦糖 巧克力,55/200,27.5,整体均衡 甜感高,风味偏弱,4,,2025/2/10,,,,,,,
265,Softpillow,拼配,软可可,可可 坚果 焦糖,45.8/227,20.1,整体均衡,风味稍弱 触感稍弱 不耐萃,3.5,适当降低萃取率,2025/2/10,2025/4/14,,,,,,
266,Joker,埃塞,水果篮子 ,白花 橘子 葡萄柚,74.1/227,32.6,奶咖甜感高 风味明显,手冲酸质稍沉闷,4.5,,2024/7/1,2025/1/26,,,,,,
267,艾思品,拼配,梅烦恼,梅子 花香 焦糖,70/227,30.8,风味明显 甜感尚可,酸质稍沉闷,4,,2025/2/10,,,,,,,
268,乔治队长,拼配,棕熊拼配,茉莉花 柑橘 布林,92/454,20.2,甜感在线 整体均衡 性价比高,微有瑕疵,4+,,2025/2/10,,,,,,,
269,白鲸,拼配,闪电泡芙,黑巧 莓果 水果酒 焦糖,79/250,31.6,甜感在线 奶咖层次丰富,美式酸质稍焖 低温略有酵感,4+,热奶咖,2025/2/17,,,,,,,
270,Joker,埃塞,小石榴,金桔 石榴 水果糖,93/150,62,酸质明亮 水果风味明显,稍不耐萃 层次稍弱 小贵,4+,,2025/2/17,,,,,,,
271,河川水流,巴拿马,赶海 新春限定,热红酒 莓果 红苹果,198/200,99,奶咖好喝,酸质稍沉闷 略有发酵感 太贵,4-,热奶咖,2025/2/17,,,,,,,
272,光咖坊,拼配,冰糖葫芦,山楂 焦糖,115/227,51.1,甜感高 焦糖感明显,不耐萃 性价比稍低,4-,适当降低萃取率,2025/2/17,2025/5/10,,,,,,
273,河汉,云南,甜酒soe,红酒 黑巧,78/200,39,风味具象 奶咖甜感高,触感偏弱 略有酵感,4+,,2025/2/21,,,,,,,
274,Outman,云南,酒心巧克力,梅子酒 刺梨 蔓越莓,63/227,27.8,酒香明显 奶咖甜感尚可,发酵感重,3.5,,2025/2/21,,,,,,,
275,Light Wave,埃塞,罕贝拉 红酒日晒,红酒 石榴 樱桃 玫瑰花,72/200,36,风味明显 干净透亮 性价比高,奶咖稍撑不住,4.5+,没事 dirty,2025/2/21,,,,,,,
276,Outman,拼配,诺德02,烤坚果 焦糖,72/454,15.8,便宜 醇厚度高,焦糊味明显 味道杂,3,,2025/2/21,,,,,,,
277,Coffee Buff,拼配,没事buff,白花香 橙子 蜂蜜 黑加仑,81.25,32.4,花香明显 整体均衡,不耐萃 触感稍弱,4,适当降低萃取率 冷奶咖,2025/2/28,,,,,,,
278,Coffee kan,埃塞,G2 深烘,焦糖黑巧,159/200,79.5,整体均衡,性价比低,3-,,2025/2/28,,,,,,,
279,Coffee kan,拼配,经典意式拼配,黑巧 谷物 焦糖,159/200,79.5,醇厚度高,风味不足 味道杂 性价比低,2.5,,2025/2/28,,,,,,,
280,Light Wave,哥斯达黎加,黑蜜 塔拉珠 omini,梨 蜜瓜 威士忌,78/200,39,整体均衡 ,稍有酵感 触感稍弱,3.5,奶咖,2025/2/28,,,,,,,
281,Malina,埃塞,樱桃炸弹,烤杏仁 樱桃 可可,119/250,47.6,整体均衡 醇厚度高,触感稍差 性价比稍低 酸质便闷,4-,,2025/3/3,2025/5/30,,,,,,
282,Malina,埃塞,单车soe,芒果 莓果 黄油,6/20,30,风味微妙 余韵长 甜感高,热奶咖稍腻,5-,冷萃 凉奶咖,2025/3/3,,,,,,,
283,Malina,埃塞,阿吉娜soe,梨 蓝莓 橙汁,90/250,36,果汁感爆炸 层次丰富,奶咖甜感稍弱 ,5,美式 dirty,2025/3/3,,,,,,,
284,Yu roaster,埃塞,紫风铃soe,综合水果 花香,70/227,30.8,整体均衡 甜感高 复杂度高,美式酸质偏弱,4+,,2025/3/17,,,,,,,
285,星辰咖啡,埃塞,橙花soe,花香 柑橘 荔枝,64/200,32,花香明显 甜感高,触感稍弱 热奶咖稍腻,4+,美式 dirty,2025/3/17,,,,,,,
286,星辰咖啡,云南,卡迪姆,芒果 葡萄 可可,68/200,34,奶咖甜感尚可,风味强度低 性价比偏低,3.5-,,2025/3/17,,,,,,,
287,有容乃大,埃塞,盖德比soe,柑橘 焦糖 柚子皮,175/1000,17.5,性价比高 整体均衡 甜感在线,略不耐萃,4+,适当降低萃取率,2025/3/17,2025/5/22,2025/6/6,,,,,
288,Chembox,哥伦比亚,奇洛索soe,柑橘 覆盆子 葡萄 苹果 绿茶,76/250,38.4,酸质明亮 甜感高,无,4.5+,,2025/3/24,,,,,,,
289,Chembox,危地马拉,莫里托瑰夏soe,杏桃 茉莉 橘子,193/250,77.2,整体均衡 干净度高,奶咖甜感稍弱 性价比稍低,4+,冷奶咖,2025/3/24,,,,,,,
290,Chembox,拼配,17号咖啡工厂,坚果 黄油饼干 松木 焦糖,84/500,16.8,干净均衡 性价比高 奶咖甜感在线,微有烟感,4+,,2025/3/24,,,,,,,
291,白鲸,拼配,春季拼配,草莓 桃子 葡萄干 玫瑰,98/200,49,美式整体均衡 ,奶咖风味弱 性价比偏低,4-,,2025/3/26,,,,,,,
292,Big Sur,秘鲁,波玛瓦卡 水洗soe,李子 油桃 红色莓果 黄糖 可可,58/200,29,水果风味明显 酸质高,干净度稍差 低温触感稍差,4,,2025/3/26,2025/5/22,,,,,,
293,Coffee Buff,埃塞,渡晚秋soe,白色花 桃汁 奶油,123/250,49.2,奶咖高甜 风味突出,美式略有负面,4.5,奶咖,2025/3/26,,,,,,,
294,多听,埃塞,橙柚花园,紫色花 柚子 甜橙 莓果,86/200,43,整体均衡 花香余韵,触感稍弱 略不耐萃,4+,适当降低萃取率,2025/3/28,,,,,,,
295,多听,埃塞,花魁soe,玫瑰 浆果 树莓,66/200,33,整日均衡 甜感尚可,风味强度偏弱,3.5+,,2025/3/28,,,,,,,
296,多听,埃塞,ALO pb小圆豆soe,香蕉 草莓 蜜瓜 佛手柑,89/200,44.5,整体均衡 甜感在线 醇厚度高,美式酸质偏弱,4,,2025/3/28,,,,,,,
297,捌比特,埃塞,花魁soe,草莓 可可 焦糖 杏脯,64/250,25.6,整体均衡 甜感在线,风味稍弱,4,,2025/4/5,,,,,,,
298,老王子,拼配,好淘气,桃子 葡萄 苹果,52/250,20.8,整体均衡 奶咖甜感在线,略不耐萃 微有负面,4,适当降低萃取率,2025/4/5,,,,,,,
299,Littlemango,拼配,如意吉象,花香 葡萄干 莓果 香料 可可,53/200,26.5,层次感强 整体均衡饱满,微有负面,4+,,2025/4/5,,,,,,,
300,有容乃大,拼配,金钱至上,莓果 利口酒 可可,46/200,23,性价比高 整体均衡 风味明显,干净度稍差,4.5,,2025/4/14,,,,,,,
301,Malina,埃塞,Karamo soe,莓果 桃子 果汁,103/250,41.2,酸质干净 整体柔和,甜感稍弱,4+,美式 dirty,2025/4/14,,,,,,,
302,启程拓殖,拼配,香草巧克力朗姆酒,香草 巧克力 朗姆酒,58/200,29,风味具象 性价比高,触感稍弱,4.5,奶咖,2025/4/14,,,,,,,
303,青玉,云南,佤族威士忌,梅子酒 深色浆果 费列罗,48.5/227,21.4,干净均衡 复杂度高 性价比高,触感稍弱,4.5,冷奶咖,2025/4/16,,,,,,,
304,青玉,拼配,溏心栗子,烤栗子 焦糖 黑巧,81/454,17.8,性价比高 甜感高,干净度稍差,4,,2025/4/16,,,,,,,
305,青玉,埃塞,瑰夏拼配5.0,茉莉花 苹果 蓝莓 可可 焦糖,55/227,24.3,花香明显 甜感高 性价比高,美式干净度稍弱,4.5,热奶咖,2025/4/16,,,,,,,
306,青玉,拼配,千蓝promax,烤榛子 坚果 焦糖,45/227,19.8,整体均衡 性价比高,触感稍弱 干净度稍弱,4,,2025/4/16,,,,,,,
307,青玉,哥伦比亚,卡斯蒂有厌氧日晒,利口酒 红色水果 罗望子 巧克力 麦芽,78.5/227,34.6,复杂度高 风味明显,美式略有酵感,4+,奶咖,2025/4/16,,,,,,,
308,Malina,埃塞,Elto soe,葡萄 黑莓 荔枝 焦糖,87/250,34.8,美式酸质清爽 奶咖甜感高,触感稍薄,4.5,美式 dirty,2025/4/24,,,,,,,
309,牛小咖,拼配,罗马夹心饼干,坚果 饼干 谷物,79/300,26.3,咖啡因含量高,风味不足 性价比低,3-,,2025/4/24,,,,,,,
310,白鲸,埃塞,当你微笑时,花香 大吉岭茶 蜂蜜 柚子,53/200,26.5,香气明显 甜感高 性价比高,触感稍薄,4.5,,2025/4/24,,,,,,,
311,河汉,哥伦比亚,甜橙soe,葡萄柚 香草 甜橙,68/200,34,酸质明亮 风味明显,甜感稍弱,4+,,2025/4/24,,,,,,,
312,Chaka,拼配,巧克拉,黑巧 焦糖 坚果,65/420,15.5,性价比高 ,缺乏风味,3.5+,,2025/4/28,,,,,,,
313,白鲸,秘鲁,瑰夏 水洗 soe,黄柠檬 葡萄蜜柚 伯爵茶,143/200,71.5,酸质明亮 香气丰富,甜感稍弱 性价比低,4,,2025/4/28,,,,,,,
314,白鲸,卢旺达,波旁 水洗soe,红茶 苹果酱 柑橘,91/200,45.5,奶咖甜感高 茶韵明显,美式干净度稍弱,4.5-,奶咖 适当降低萃取率,2025/4/28,,,,,,,
315,斗总,埃塞,花魁X soe,花香 红茶 草莓,109/500,21.8,奶咖花香明显 性价比高,美式稍有负面,4,奶咖,2025/4/28,,,,,,,
316,有容乃大,拼配,冬季拼配,桃子 柚子 黑巧,-,-,风味明显,香气割裂,3.5-,,2025/5/5,,,,,,,
317,奶嘴,秘鲁,水洗soe,小红莓 黄糖 红茶 提拉米苏,58/200,29,酸质干净 水果风味明显,层次感稍弱,4.5+,,2025/5/5,2025/6/16,,,,,,
318,青玉,拼配,阳光假日拼配,综合花香 果汁 牛奶布丁,58/100,58,性价比稍低 ,复杂度偏高,4-,,2025/5/5,,,,,,,
319,小川,拼配,009精品拼配,红酒 琥珀 柏木 黑巧,99/150,66,香气微妙 甜感高,无,5-,,2025/5/5,,,,,,,
320,咖乐透,埃塞,莫奈晨雾,花香 葡萄柚 红茶,58/200,29,酸质轻盈 甘蔗甜感,热奶咖风味稍弱,4.5,美式 dirty,2025/5/10,,,,,,,
321,有容乃大,埃塞,欧隆索soe,柠檬 柚子 红茶,72/200,36,美式干净透亮 甜感在线,奶咖风味偏弱,4+,美式 冷萃,2025/5/10,,,,,,,
322,瑞幸,埃塞,耶加雪菲soe,柑橘 红柚 茶花,79/250,31.6,余韵尚可 风味尚可,烘焙日期不新鲜,3.5-,,2025/5/12,,,,,,,
323,京东,哥伦比亚,哥伦比亚soe,黑巧 焦苦,139/1000,13.9,便宜 醇厚度高,风味差 瑕疵率高,2.5,,2025/5/12,,,,,,,
324,有容乃大,埃塞,布库soe,菠萝 柑橘 杏桃 莓果,84/200,42,水果风味明显,酸度偏高 触感稍弱,4,,2025/5/12,,,,,,,
325,有容乃大,拼配,复兴拼配,榛果 可可 发酵,53/200,26.5,整体均衡,发酵感明显 味道杂,3.5,,2025/5/10,,,,,,,
326,有容乃大,拼配,春季拼配 深烘,蜜柚 菊花茶 焦糖,83/200,41.5,余韵微妙 整体均衡,美式酸感偏弱,4+,,2025/5/10,,,,,,,
327,有容乃大,拼配,春季拼配 浅烘,天竺葵 青柠 蜜柚 佛手柑 茉莉绿茶,111/200,55.5,香气馥郁 层次丰富,触感稍弱 小贵,5-,,2025/5/10,,,,,,,
328,有容乃大,埃塞,雅叶soe,洋甘菊 柚子 焦糖 莓果,106/200,53,干净度高 层次丰富 甜感在线,小贵,4.5-,,2025/5/10,,,,,,,
329,Sight Glass,拼配,春季拼配,橙花 罗望子 草莓,-,-,整体均衡 甜感尚可 余韵微妙,风味偏弱,3.5,,2025/5/22,,,,,,,
330,Chaka,埃塞,矮人定制 Danche,茉莉花 冰糖 伯爵茶 柑橘,46/120,38.3,花香四溢 甜感在线 性价比高,层次感稍弱,4.5+,适当调细研磨度,2025/5/22,,,,,,,
331,小川,拼配,002号拼配,黄油 烤吐司 烟丝 黑巧,99/150,66,醇厚度高 口感扎实,酸质偏弱 性价比偏低,4+,,2025/5/26,,,,,,,
